url,path,http_status,last_crawl_yandex,тип_страницы,приоритет_рекламы,ключи_золото_для_этого_url,группа_директа,комментарий
https://ccapital.pro/,/,200,06.06.2026,Главная,РСЯ ретаргет,,,Не лить Поиск — слишком широко
https://ccapital.pro/qualified-clients.html,/qualified-clients.html,200,06.06.2026,Флагман нарратив,РСЯ + Серебро,архитектура легитимности,Квал клиенты,Лендинг для видео-рекламы
https://ccapital.pro/private.html,/private.html,200,06.06.2026,Private Office,Золото Серебро,private office; управление крупным капиталом,Private Office,От $1M — нижний funnel
https://ccapital.pro/bank-refused.html,/bank-refused.html,200,06.06.2026,Боль банка,Золото Поиск,банк отказал в открытии счета; закрыли счет в банке; блокировка счета,Отказ банка,Старт кампании Поиск
https://ccapital.pro/bank-account.html,/bank-account.html,200,06.06.2026,Хаб счета,Золото Поиск,зарубежный счет для россиян; счет за границей,Зарубежный счёт,
https://ccapital.pro/account-uae.html,/account-uae.html,200,06.06.2026,Счёт ОАЭ,Золото Поиск,открыть счет в оаэ; счет в дубае для россиян,Счёт ОАЭ,
https://ccapital.pro/account-singapore.html,/account-singapore.html,200,06.06.2026,Счёт Сингапур,Золото Поиск,открыть счет в сингапуре; банк сингапур нерезидент,Счёт Сингапур,
https://ccapital.pro/account-hong-kong.html,/account-hong-kong.html,200,06.06.2026,Счёт Гонконг,Золото Поиск,счет в гонконге; открыть счет гонконг,Счёт Гонконг,
https://ccapital.pro/source-of-funds.html,/source-of-funds.html,200,06.06.2026,Source of Funds,Золото Поиск,source of funds; как доказать происхождение денег банку,Source of Funds,
https://ccapital.pro/aml-crypto.html,/aml-crypto.html,200,06.06.2026,AML крипта,Золото Поиск,aml криптовалюта; легализация крипты; криптовалюта банк не принимает,AML и крипта,
https://ccapital.pro/pay.html,/pay.html,200,06.06.2026,ВЭД платежи,Золото Поиск,оплата поставщику за рубеж; платежи вэд; usdc платежи,ВЭД-платежи,
https://ccapital.pro/business-eu.html,/business-eu.html,200,06.06.2026,Бизнес EU,Золото Поиск,готовый бизнес в европе; купить бизнес в европе,Бизнес EU,
https://ccapital.pro/homeland.html,/homeland.html,200,06.06.2026,Подготовка в РФ,Серебро,,,Поиск позже — узкий intent
https://ccapital.pro/journal/hongkong-banks-uae-transit-compliance-2026.html,/journal/hongkong-banks-uae-transit-compliance-2026.html,200,06.06.2026,Журнал,Контент SEO,банки гонконга не принимают платежи из оаэ,Журнал,УЖЕ 2 клика в Вебмастере
https://ccapital.pro/journal/geographic-footprint-clean-capital.html,/journal/geographic-footprint-clean-capital.html,200,06.06.2026,Журнал,Контент SEO,географический след крипта,Журнал,
https://ccapital.pro/journal/legalizaciya-kripty-rf-2026.html,/journal/legalizaciya-kripty-rf-2026.html,200,06.06.2026,Журнал,Контент SEO,легализация крипты рф 2026,Журнал,
https://ccapital.pro/journal/valyutnyy-kontrol-2026-gayd.html,/journal/valyutnyy-kontrol-2026-gayd.html,200,06.06.2026,Журнал,Контент SEO,валютный контроль 2026,Журнал,
https://ccapital.pro/journal/singapore-family-office.html,/journal/singapore-family-office.html,200,06.06.2026,Журнал,Контент SEO,family office сингапур,Журнал,
https://ccapital.pro/journal/gotovyy-biznes-v-evrope-substance-2026.html,/journal/gotovyy-biznes-v-evrope-substance-2026.html,200,06.06.2026,Журнал,Контент SEO,готовый бизнес substance европа,Журнал,
https://ccapital.pro/journal/gpu-oblako-azia-h100-h200-2026.html,/journal/gpu-oblako-azia-h100-h200-2026.html,200,06.06.2026,Журнал,Контент SEO,gpu h100 аренда; серверы h200,Журнал,B2B отдельная аудитория
https://ccapital.pro/projects/the-title-artrio.html,/projects/the-title-artrio.html,200,02.06.2026,Недвижимость,Не Поиск,,,Органика по названию проекта
https://ccapital.pro/projects/the-title-adora.html,/projects/the-title-adora.html,200,02.06.2026,Недвижимость,Не Поиск,,,Показы по the title adora — норма
https://ccapital.pro/projects/the-title-katabello.html,/projects/the-title-katabello.html,200,02.06.2026,Недвижимость,Не Поиск,,,
https://ccapital.pro/projects/the-title-biancana.html,/projects/the-title-biancana.html,200,02.06.2026,Недвижимость,Не Поиск,,,
https://ccapital.pro/projects/the-title-vivana.html,/projects/the-title-vivana.html,200,02.06.2026,Недвижимость,Не Поиск,,,
https://ccapital.pro/projects/the-title-sierra.html,/projects/the-title-sierra.html,200,02.06.2026,Недвижимость,Не Поиск,,,
https://ccapital.pro/projects/the-title-balcony.html,/projects/the-title-balcony.html,200,02.06.2026,Недвижимость,Не Поиск,,,
