Применимо к,Заголовок (макс 30),Описание (макс 60),Ссылка
Все объявления,Как это работает,4 шага без посредников в РФ,https://ccapital.pro/pay.html?utm_source=yandex&utm_medium=cpc&utm_campaign=usdc_ved_hot_rf&utm_content=ql_how#usdc
Все объявления,Калькулятор стоимости,Узнайте цену расчёта за 10 секунд,https://ccapital.pro/pay.html?utm_source=yandex&utm_medium=cpc&utm_campaign=usdc_ved_hot_rf&utm_content=ql_calc#usdc-calc
Все объявления,Бухгалтерия и НДС,Валютный контроль и закрывающие документы,https://ccapital.pro/pay.html?utm_source=yandex&utm_medium=cpc&utm_campaign=usdc_ved_hot_rf&utm_content=ql_legal#usdc-legal
Все объявления,Связаться,Telegram или телефон — ответ за 30 минут,https://ccapital.pro/pay.html?utm_source=yandex&utm_medium=cpc&utm_campaign=usdc_ved_hot_rf&utm_content=ql_form#usdc-form

# Уточнения (вставлять в поле «Уточнения» — Директ покажет 4 из 8 при показе)
# Каждое уточнение — до 25 символов:
# 1. Без SWIFT
# 2. Чистый USDC
# 3. От 1 рабочего дня
# 4. НДС 0₽
# 5. Договор + документы
# 6. Telegram-ответ 30 мин
# 7. От $10k контракт
# 8. Лицензированный брокер
